,Unnamed: 0,Year,Make,Model,Price_x,Mileage,Location,TO_distance,Location_Region,loc,point,latitude,longitude,altitude,Location_Dist,Price_y
57,58,2014,Kia,Rio,11999.0,76245.0,Stoney Creek,56,"Stoney Creek, Ontario","Stoney Creek, Hamilton, Golden Horseshoe, Ontario, L8G 3P1, Canada","(43.2167722, -79.7567508, 0.0)",43.2167722,-79.75675079999999,0.0,"Stoney Creek, 56",24200.35135135135
59,60,2018,Mercedes-Benz,GLC,41995.0,53886.0,Oakville,35,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 35",37314.167272727274
60,61,2017,Nissan,Qashqai,17718.0,33422.0,Stouffville,37,"Stouffville, Ontario","Stouffville, Main Street Stouffville, Downtown Stouffville, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 2S5, Canada","(43.9708746, -79.2500689, 0.0)",43.9708746,-79.2500689,0.0,"Stouffville, 37",23699.589285714286
61,62,2019,Acura,MDX,48495.0,10110.0,Markham,25,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 25",33321.608695652176
63,64,2016,Chevrolet,Malibu,12988.0,67711.0,Burlington,45,"Burlington, Ontario","Burlington, Halton Region, Golden Horseshoe, Ontario, Canada","(43.3248924, -79.7966835, 0.0)",43.3248924,-79.7966835,0.0,"Burlington, 45",34201.60144927536
64,65,2019,Audi,A4,49900.0,11043.0,Oakville,37,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 37",37314.167272727274
65,66,2019,Ford,Escape,29995.0,29073.0,Mississauga,30,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 30",29603.69920318725
66,67,2019,Dodge,Grand,27995.0,25367.0,Milton,43,"Milton, Ontario","Milton, Halton Region, Golden Horseshoe, Ontario, Canada","(43.513671, -79.882817, 0.0)",43.513671,-79.882817,0.0,"Milton, 43",25693.14893617021
67,68,2017,Chrysler,Pacifica,25995.0,170374.0,Guelph,77,"Guelph, Ontario","Guelph, Southwestern Ontario, Ontario, N1H 4E7, Canada","(43.5460516, -80.2493276, 0.0)",43.5460516,-80.2493276,0.0,"Guelph, 77",25796.0564516129
69,70,2017,Kia,Forte,14880.0,76907.0,Toronto,14,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 14",32234.972459639128
70,71,2015,Honda,Civic,12250.0,90808.0,Toronto,16,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 16",32234.972459639128
71,72,2016,BMW,X1,23980.0,69214.0,Thornhill,17,"Thornhill, Ontario","Thornhill, Vaughan, York Region, Golden Horseshoe, Ontario, L4J 4E5, Canada","(43.8161477, -79.4245925, 0.0)",43.8161477,-79.4245925,0.0,"Thornhill, 17",44930.72727272727
72,73,2019,Toyota,Highlander,42995.0,12142.0,Mississauga,20,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 20",29603.69920318725
73,74,2017,Mercedes-Benz,GLE-Class,49995.0,58945.0,Oakville,35,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 35",37314.167272727274
74,75,2016,Audi,A7,38995.0,34700.0,Brampton,26,"Brampton, Ontario","Brampton, Peel Region, Golden Horseshoe, Ontario, Canada","(43.6858146, -79.7599337, 0.0)",43.6858146,-79.7599337,0.0,"Brampton, 26",31978.789743589743
79,80,2016,Hyundai,Elantra,14400.0,50771.0,North York,14,"North York, Ontario","North York, Toronto, Golden Horseshoe, Ontario, Canada","(43.7543263, -79.44911696639593, 0.0)",43.754326299999995,-79.44911696639593,0.0,"North York, 14",42238.37160120846
83,84,2017,Lexus,NX,32700.0,43849.0,Toronto,2,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 2",32234.972459639128
85,86,2015,Hino,195,39500.0,83460.0,Markham,30,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 30",33321.608695652176
86,87,2018,Ram,1500,31992.0,31647.0,Hamilton,55,"Hamilton, Ontario","Hamilton, Golden Horseshoe, Ontario, L8P 0B3, Canada","(43.2560802, -79.8728583, 0.0)",43.2560802,-79.8728583,0.0,"Hamilton, 55",26965.2421875
87,88,2015,Honda,Civic,13788.0,49980.0,Oakville,32,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 32",37314.167272727274
88,89,2012,BMW,128I,17888.0,95236.0,Toronto,15,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 15",32234.972459639128
89,90,2019,Hyundai,Santa,28595.0,25824.0,Etobicoke,18,"Etobicoke, Ontario","Etobicoke, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9C 0B1, Canada","(43.6435559, -79.5656326, 0.0)",43.6435559,-79.56563259999999,0.0,"Etobicoke, 18",30464.85496183206
90,91,2016,Nissan,Pathfinder,22888.0,69333.0,Mississauga,17,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 17",29603.69920318725
91,92,2019,Toyota,Corolla,18588.0,17842.0,Richmond Hill,29,"Richmond Hill, Ontario","Richmond Hill, York Region, Golden Horseshoe, Ontario, Canada","(43.880078, -79.439392, 0.0)",43.880078000000005,-79.439392,0.0,"Richmond Hill, 29",31169.36170212766
92,93,2015,Kia,Optima,12988.0,40591.0,Grimsby,53,"Grimsby, Ontario","Grimsby, Niagara Region, Golden Horseshoe, Ontario, Canada","(43.1932094, -79.5606922, 0.0)",43.1932094,-79.5606922,0.0,"Grimsby, 53",28847.45
95,96,2018,Dodge,Charger,28500.0,49925.0,Guelph,77,"Guelph, Ontario","Guelph, Southwestern Ontario, Ontario, N1H 4E7, Canada","(43.5460516, -80.2493276, 0.0)",43.5460516,-80.2493276,0.0,"Guelph, 77",25796.0564516129
96,97,2016,Land,Rover,43910.0,62187.0,Vaughan,21,"Vaughan, Ontario","Vaughan, York Region, Golden Horseshoe, Ontario, Canada","(43.7941544, -79.5268023, 0.0)",43.7941544,-79.52680229999999,0.0,"Vaughan, 21",35577.231292517004
97,98,2019,Chevrolet,Corvette,59988.0,15867.0,Toronto,12,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 12",32234.972459639128
98,99,2017,Lexus,ES,30338.0,57307.0,Markham,19,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 19",33321.608695652176
99,100,2016,Cadillac,CT6,34992.0,55466.0,Oakville,35,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 35",37314.167272727274
100,101,2020,Ram,1500,62950.0,10728.0,Burlington,48,"Burlington, Ontario","Burlington, Halton Region, Golden Horseshoe, Ontario, Canada","(43.3248924, -79.7966835, 0.0)",43.3248924,-79.7966835,0.0,"Burlington, 48",34201.60144927536
103,104,2014,Lexus,ES,15800.0,173900.0,North York,11,"North York, Ontario","North York, Toronto, Golden Horseshoe, Ontario, Canada","(43.7543263, -79.44911696639593, 0.0)",43.754326299999995,-79.44911696639593,0.0,"North York, 11",42238.37160120846
104,105,2014,Chevrolet,Trax,14888.0,76855.0,Hamilton,62,"Hamilton, Ontario","Hamilton, Golden Horseshoe, Ontario, L8P 0B3, Canada","(43.2560802, -79.8728583, 0.0)",43.2560802,-79.8728583,0.0,"Hamilton, 62",26965.2421875
105,106,2015,Volkswagen,Jetta,12450.0,97801.0,Georgetown,41,"Georgetown, Ontario","Georgetown, Halton Region, Golden Horseshoe, Ontario, L7G 4A9, Canada","(43.6502652, -79.9036058, 0.0)",43.6502652,-79.9036058,0.0,"Georgetown, 41",23929.277777777777
107,108,2018,Dodge,Charger,28500.0,49925.0,Guelph,77,"Guelph, Ontario","Guelph, Southwestern Ontario, Ontario, N1H 4E7, Canada","(43.5460516, -80.2493276, 0.0)",43.5460516,-80.2493276,0.0,"Guelph, 77",25796.0564516129
108,110,2020,Audi,A3,40318.0,7523.0,Etobicoke,14,"Etobicoke, Ontario","Etobicoke, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9C 0B1, Canada","(43.6435559, -79.5656326, 0.0)",43.6435559,-79.56563259999999,0.0,"Etobicoke, 14",30464.85496183206
109,111,2020,Nissan,Rogue,31498.0,11985.0,Oakville,39,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 39",37314.167272727274
111,113,2015,Nissan,Altima,11900.0,123450.0,Burlington,45,"Burlington, Ontario","Burlington, Halton Region, Golden Horseshoe, Ontario, Canada","(43.3248924, -79.7966835, 0.0)",43.3248924,-79.7966835,0.0,"Burlington, 45",34201.60144927536
112,114,2018,Acura,TLX,27988.0,30948.0,Mississauga,28,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 28",29603.69920318725
113,115,2014,Lexus,RX,27888.0,123716.0,Toronto,15,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 15",32234.972459639128
114,116,2019,Dodge,Grand,27888.0,29624.0,Brampton,34,"Brampton, Ontario","Brampton, Peel Region, Golden Horseshoe, Ontario, Canada","(43.6858146, -79.7599337, 0.0)",43.6858146,-79.7599337,0.0,"Brampton, 34",31978.789743589743
115,117,2017,Ford,Transit,26950.0,27059.0,Grimsby,52,"Grimsby, Ontario","Grimsby, Niagara Region, Golden Horseshoe, Ontario, Canada","(43.1932094, -79.5606922, 0.0)",43.1932094,-79.5606922,0.0,"Grimsby, 52",28847.45
116,118,2019,Volkswagen,Golf,23999.0,25180.0,Toronto,14,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 14",32234.972459639128
117,119,2012,Subaru,Outback,11975.0,147509.0,Scarborough,14,"Scarborough, Ontario","Scarborough, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1P 4N7, Canada","(43.773077, -79.257774, 0.0)",43.773077,-79.257774,0.0,"Scarborough, 14",23342.97272727273
118,120,2016,Cadillac,CT6,34992.0,55466.0,Oakville,35,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 35",37314.167272727274
119,121,2017,Hyundai,Santa,20422.0,134437.0,Oshawa,49,"Oshawa, Ontario","Oshawa, Durham Region, Golden Horseshoe, Ontario, Canada","(43.91768, -78.862953, 0.0)",43.91768,-78.862953,0.0,"Oshawa, 49",21395.27027027027
120,122,2019,Acura,MDX,46495.0,10632.0,Markham,25,"Markham, Ontario","Markham, York Region, Golden Horseshoe, Ontario, Canada","(43.854336, -79.326782, 0.0)",43.854335999999996,-79.326782,0.0,"Markham, 25",33321.608695652176
124,126,2018,Toyota,C-HR,19498.0,33249.0,Thornhill,17,"Thornhill, Ontario","Thornhill, Vaughan, York Region, Golden Horseshoe, Ontario, L4J 4E5, Canada","(43.8161477, -79.4245925, 0.0)",43.8161477,-79.4245925,0.0,"Thornhill, 17",44930.72727272727
125,127,2016,Ford,Escape,18088.0,68959.0,Toronto,1,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 1",32234.972459639128
126,128,2016,BMW,3,16750.0,126668.0,Toronto,16,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 16",32234.972459639128
127,129,2016,Ram,Promaster,15995.0,124354.0,Hamilton,55,"Hamilton, Ontario","Hamilton, Golden Horseshoe, Ontario, L8P 0B3, Canada","(43.2560802, -79.8728583, 0.0)",43.2560802,-79.8728583,0.0,"Hamilton, 55",26965.2421875
128,130,2017,Subaru,Legacy,13990.0,110590.0,Toronto,16,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 16",32234.972459639128
131,133,2019,Lincoln,Nautilus,52599.0,12026.0,Brampton,30,"Brampton, Ontario","Brampton, Peel Region, Golden Horseshoe, Ontario, Canada","(43.6858146, -79.7599337, 0.0)",43.6858146,-79.7599337,0.0,"Brampton, 30",31978.789743589743
133,135,2018,Volkswagen,Atlas,32289.0,47916.0,Georgetown,41,"Georgetown, Ontario","Georgetown, Halton Region, Golden Horseshoe, Ontario, L7G 4A9, Canada","(43.6502652, -79.9036058, 0.0)",43.6502652,-79.9036058,0.0,"Georgetown, 41",23929.277777777777
135,137,2020,Chevrolet,Equinox,46287.0,10.0,Toronto,12,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 12",32234.972459639128
136,138,2017,Infiniti,QX60,28888.0,61224.0,Oakville,39,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 39",37314.167272727274
137,139,2020,Kia,Forte,19000.0,1217.0,Toronto,14,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 14",32234.972459639128
141,143,2014,Lincoln,MKZ,12295.0,188000.0,Mississauga,21,"Mississauga, Ontario","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","(43.590338, -79.645729, 0.0)",43.590338,-79.645729,0.0,"Mississauga, 21",29603.69920318725
142,144,2017,Mercedes-Benz,C-Class,43995.0,58189.0,Oakville,35,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 35",37314.167272727274
145,147,2016,BMW,X5,37587.0,73583.0,Oakville,40,"Oakville, Ontario","Oakville, Halton Region, Golden Horseshoe, Ontario, Canada","(43.447436, -79.666672, 0.0)",43.447435999999996,-79.66667199999999,0.0,"Oakville, 40",37314.167272727274
146,148,2016,BMW,3,23500.0,49697.0,Toronto,13,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347, 0.0)",43.6534817,-79.38393470000001,0.0,"Toronto, 13",32234.972459639128
147,149,2017,Hyundai,Santa,16989.0,92365.0,Bolton,37,"Bolton, Ontario","Bolton, Peel Region, Golden Horseshoe, Ontario, L7E 1C8, Canada","(43.879548, -79.73826, 0.0)",43.879548,-79.73826,0.0,"Bolton, 37",26531.214285714286
