,Year,Make,Model,Price,Mileage,Location,TO_distance,Location_Region
73,2019,Toyota,Highlander,42995.0,12142.0,Mississauga,20,"Mississauga, Ontario"
74,2017,Mercedes-Benz,GLE-Class,49995.0,58945.0,Oakville,35,"Oakville, Ontario"
75,2016,Audi,A7,38995.0,34700.0,Brampton,26,"Brampton, Ontario"
76,2018,GMC,Acadia,34999.0,26044.0,London,171,"London, Ontario"
77,2018,Subaru,WRX,54400.0,14335.0,Innisfil,76,"Innisfil, Ontario"
78,2015,Ram,1500,21750.0,214000.0,Mississauga,24,"Mississauga, Ontario"
79,1985,Chevrolet,Corvette,14500.0,66000.0,Niagara Falls,71,"Niagara Falls, Ontario"
80,2016,Hyundai,Elantra,14400.0,50771.0,North York,14,"North York, Ontario"
81,2014,Lincoln,MKZ,12800.0,109896.0,Niagara Falls,68,"Niagara Falls, Ontario"
82,2015,Chevrolet,Cruze,12491.0,57220.0,Kitchener,91,"Kitchener, Ontario"
83,2003,Buick,Rendezvous,3500.0,291000.0,Maple,26,"Maple, Ontario"
84,2017,Lexus,NX,32700.0,43849.0,Toronto,2,"Toronto, Ontario"
85,2010,Bentley,Continental,99995.0,46751.0,Montréal,497,"Montréal, Ontario"
86,2015,Hino,195,39500.0,83460.0,Markham,30,"Markham, Ontario"
87,2018,Ram,1500,31992.0,31647.0,Hamilton,55,"Hamilton, Ontario"
88,2015,Honda,Civic,13788.0,49980.0,Oakville,32,"Oakville, Ontario"
89,2012,BMW,128I,17888.0,95236.0,Toronto,15,"Toronto, Ontario"
90,2019,Hyundai,Santa,28595.0,25824.0,Etobicoke,18,"Etobicoke, Ontario"
91,2016,Nissan,Pathfinder,22888.0,69333.0,Mississauga,17,"Mississauga, Ontario"
92,2019,Toyota,Corolla,18588.0,17842.0,Richmond Hill,29,"Richmond Hill, Ontario"
93,2015,Kia,Optima,12988.0,40591.0,Grimsby,53,"Grimsby, Ontario"
94,2012,Honda,CR-V,12000.0,127500.0,Niagara Falls,63,"Niagara Falls, Ontario"
95,2010,Subaru,Outback,9900.0,185700.0,Richmond Hill,31,"Richmond Hill, Ontario"
96,2018,Dodge,Charger,28500.0,49925.0,Guelph,77,"Guelph, Ontario"
97,2016,Land,Rover,43910.0,62187.0,Vaughan,21,"Vaughan, Ontario"
98,2019,Chevrolet,Corvette,59988.0,15867.0,Toronto,12,"Toronto, Ontario"
99,2017,Lexus,ES,30338.0,57307.0,Markham,19,"Markham, Ontario"
100,2016,Cadillac,CT6,34992.0,55466.0,Oakville,35,"Oakville, Ontario"
101,2020,Ram,1500,62950.0,10728.0,Burlington,48,"Burlington, Ontario"
102,2020,Kia,Sportage,23990.0,11435.0,St. Catharines,53,"St. Catharines, Ontario"
103,2019,Kia,Sorento,23864.0,33560.0,St. Catharines,53,"St. Catharines, Ontario"
104,2014,Lexus,ES,15800.0,173900.0,North York,11,"North York, Ontario"
105,2014,Chevrolet,Trax,14888.0,76855.0,Hamilton,62,"Hamilton, Ontario"
106,2015,Volkswagen,Jetta,12450.0,97801.0,Georgetown,41,"Georgetown, Ontario"
107,2012,Toyota,Sienna,8850.0,258000.0,North York,15,"North York, Ontario"
108,2018,Dodge,Charger,28500.0,49925.0,Guelph,77,"Guelph, Ontario"
109,2019,Mercedes-Benz,AMG,179095.0,750.0,North Vancouver,3361,"North Vancouver, Ontario"
110,2020,Audi,A3,40318.0,7523.0,Etobicoke,14,"Etobicoke, Ontario"
111,2020,Nissan,Rogue,31498.0,11985.0,Oakville,39,"Oakville, Ontario"
112,2017,Nissan,Armada,36853.0,99742.0,Sarnia,255,"Sarnia, Ontario"
113,2015,Nissan,Altima,11900.0,123450.0,Burlington,45,"Burlington, Ontario"
114,2018,Acura,TLX,27988.0,30948.0,Mississauga,28,"Mississauga, Ontario"
115,2014,Lexus,RX,27888.0,123716.0,Toronto,15,"Toronto, Ontario"
116,2019,Dodge,Grand,27888.0,29624.0,Brampton,34,"Brampton, Ontario"
117,2017,Ford,Transit,26950.0,27059.0,Grimsby,52,"Grimsby, Ontario"
118,2019,Volkswagen,Golf,23999.0,25180.0,Toronto,14,"Toronto, Ontario"
119,2012,Subaru,Outback,11975.0,147509.0,Scarborough,14,"Scarborough, Ontario"
120,2016,Cadillac,CT6,34992.0,55466.0,Oakville,35,"Oakville, Ontario"
121,2017,Hyundai,Santa,20422.0,134437.0,Oshawa,49,"Oshawa, Ontario"
122,2019,Acura,MDX,46495.0,10632.0,Markham,25,"Markham, Ontario"
123,2018,Dodge,Grand,41900.0,48000.0,Vineland,54,"Vineland, Ontario"
124,2018,Maserati,Levante,99987.0,9802.0,Woodbridge,20,"Woodbridge, Ontario"
125,2016,Land,Rover,82649.0,33702.0,Richmond Hill,22,"Richmond Hill, Ontario"
126,2018,Toyota,C-HR,19498.0,33249.0,Thornhill,17,"Thornhill, Ontario"
127,2016,Ford,Escape,18088.0,68959.0,Toronto,1,"Toronto, Ontario"
128,2016,BMW,3,16750.0,126668.0,Toronto,16,"Toronto, Ontario"
129,2016,Ram,Promaster,15995.0,124354.0,Hamilton,55,"Hamilton, Ontario"
130,2017,Subaru,Legacy,13990.0,110590.0,Toronto,16,"Toronto, Ontario"
131,2013,Ford,Fusion,7995.0,136000.0,Beeton,58,"Beeton, Ontario"
132,2020,BMW,Z4,80800.0,10088.0,Hamilton,64,"Hamilton, Ontario"
133,2019,Lincoln,Nautilus,52599.0,12026.0,Brampton,30,"Brampton, Ontario"
134,2019,BMW,7,134800.0,26525.0,North York,16,"North York, Ontario"
135,2018,Volkswagen,Atlas,32289.0,47916.0,Georgetown,41,"Georgetown, Ontario"
136,2019,Volvo,S60,62520.0,7560.0,Ottawa,356,"Ottawa, Ontario"
137,2020,Chevrolet,Equinox,46287.0,10.0,Toronto,12,"Toronto, Ontario"
138,2017,Infiniti,QX60,28888.0,61224.0,Oakville,39,"Oakville, Ontario"
139,2020,Kia,Forte,19000.0,1217.0,Toronto,14,"Toronto, Ontario"
140,2010,Lexus,RX,13995.0,164000.0,Markham,29,"Markham, Ontario"
141,2012,Dodge,RAM,12995.0,204000.0,Oakville,40,"Oakville, Ontario"
142,2016,Volkswagen,Jetta,12692.0,71096.0,Barrie,83,"Barrie, Ontario"
143,2014,Lincoln,MKZ,12295.0,188000.0,Mississauga,21,"Mississauga, Ontario"
144,2017,Mercedes-Benz,C-Class,43995.0,58189.0,Oakville,35,"Oakville, Ontario"
145,2020,Land,Rover,58995.0,4434.0,London,172,"London, Ontario"
146,2018,Ford,F-150,47900.0,63948.0,Waterloo,95,"Waterloo, Ontario"
147,2016,BMW,X5,37587.0,73583.0,Oakville,40,"Oakville, Ontario"
148,2016,BMW,3,23500.0,49697.0,Toronto,13,"Toronto, Ontario"
149,2017,Hyundai,Santa,16989.0,92365.0,Bolton,37,"Bolton, Ontario"
150,2015,Volvo,XC70,29995.0,70864.0,Toronto,15,"Toronto, Ontario"
151,2019,Mazda,Mazda3,29650.0,8780.0,Scarborough,13,"Scarborough, Ontario"
152,2017,Jeep,Compass,28833.0,16067.0,Toronto,16,"Toronto, Ontario"
153,2014,Audi,TT,22950.0,171000.0,Toronto,19,"Toronto, Ontario"
154,2016,Dodge,Grand,19995.0,89045.0,Arthur,95,"Arthur, Ontario"
155,2015,Hyundai,Santa,17995.0,121174.0,Etobicoke,18,"Etobicoke, Ontario"
156,2017,Honda,CR-V,22900.0,101673.0,Fergus,79,"Fergus, Ontario"
157,2017,Mercedes-Benz,C-Class,45995.0,78268.0,Oakville,35,"Oakville, Ontario"
158,2016,Land,Rover,54888.0,65674.0,Toronto,14,"Toronto, Ontario"
159,2020,Honda,Accord,34076.0,13004.0,Mississauga,21,"Mississauga, Ontario"
160,2019,BMW,M5,114998.0,90.0,Mississauga,20,"Mississauga, Ontario"
161,2019,Dodge,Grand,28497.0,9471.0,Ottawa,356,"Ottawa, Ontario"
162,2019,Nissan,Murano,28495.0,43255.0,Cambridge,82,"Cambridge, Ontario"
163,2017,Volvo,XC60,27998.0,33000.0,Guelph,74,"Guelph, Ontario"
164,2020,Kia,Sedona,26519.0,22675.0,Toronto,14,"Toronto, Ontario"
165,2019,Nissan,Rogue,23661.0,29170.0,Toronto,14,"Toronto, Ontario"
166,2015,Ram,Promaster,15995.0,107521.0,Hamilton,55,"Hamilton, Ontario"
167,2012,Honda,Civic,8199.0,164824.0,Mississauga,21,"Mississauga, Ontario"
168,2015,Chevrolet,Equinox,19900.0,97690.0,Cambridge,82,"Cambridge, Ontario"
169,2020,BMW,X3,56900.0,4813.0,Hamilton,64,"Hamilton, Ontario"
170,2018,Ferrari,812,469987.0,1980.0,Woodbridge,21,"Woodbridge, Ontario"
171,2019,Volkswagen,Golf,38284.0,250.0,Whitby,46,"Whitby, Ontario"
172,2016,Subaru,Impreza,25795.0,68003.0,Milton,45,"Milton, Ontario"
173,2015,Toyota,RAV4,17500.0,143355.0,Bowmanville,61,"Bowmanville, Ontario"
174,2018,Hyundai,Sonata,34000.0,11000.0,Guelph,77,"Guelph, Ontario"
175,2017,Lexus,NX,28999.0,69392.0,Toronto,18,"Toronto, Ontario"
176,2016,Mazda,CX-5,23900.0,51000.0,York,4,"York, Ontario"
177,2018,Dodge,Grand,19995.0,54201.0,Etobicoke,18,"Etobicoke, Ontario"
178,2017,Subaru,Forester,19888.0,75120.0,North York,17,"North York, Ontario"
179,2019,Nissan,Sentra,16988.0,31973.0,Mississauga,30,"Mississauga, Ontario"
180,2018,GMC,Terrain,31988.0,53654.0,Toronto,12,"Toronto, Ontario"
181,2018,Acura,TLX,28499.0,14936.0,Toronto,15,"Toronto, Ontario"
182,2019,Acura,RDX,45990.0,18743.0,Etobicoke,15,"Etobicoke, Ontario"
183,2017,Ford,Explorer,29272.0,82029.0,Thornhill,17,"Thornhill, Ontario"
184,2016,BMW,228i,23500.0,43725.0,Ottawa,357,"Ottawa, Ontario"
185,2016,Toyota,Corolla,16599.0,88430.0,Burlington,48,"Burlington, Ontario"
186,2020,Kia,Sportage,24888.0,6924.0,St. Catharines,53,"St. Catharines, Ontario"
187,2016,Lincoln,MKC,22888.0,38855.0,Woodbridge,24,"Woodbridge, Ontario"
188,2016,Hyundai,Santa,22399.0,78880.0,Mississauga,27,"Mississauga, Ontario"
189,2016,Kia,Sorento,18300.0,80601.0,Woodbridge,27,"Woodbridge, Ontario"
190,2015,Volkswagen,Passat,16985.0,107017.0,Toronto,11,"Toronto, Ontario"
191,2015,Volkswagen,Passat,13850.0,100043.0,Milton,43,"Milton, Ontario"
192,2016,Ford,Edge,16968.0,97020.0,Barrie,88,"Barrie, Ontario"
193,2017,Mazda,CX-9,25985.0,78212.0,Markham,27,"Markham, Ontario"
194,2019,Ram,2500,57995.0,35884.0,Arthur,95,"Arthur, Ontario"
195,2017,Porsche,Macan,44910.0,46611.0,Vaughan,21,"Vaughan, Ontario"
196,2011,Hyundai,Sonata,11995.0,151014.0,Scarborough,14,"Scarborough, Ontario"
197,2019,Lincoln,Continental,59998.0,14882.0,Brampton,30,"Brampton, Ontario"
198,2016,Volvo,XC90,39888.0,55720.0,Toronto,15,"Toronto, Ontario"
199,2019,Ford,Escape,31495.0,23856.0,Toronto,14,"Toronto, Ontario"
200,2017,Ford,Edge,29900.0,92638.0,Woodbridge,27,"Woodbridge, Ontario"
201,2018,Hyundai,Santa,20995.0,72642.0,Brampton,35,"Brampton, Ontario"
202,2012,Ford,F-150,11995.0,204673.0,Toronto,15,"Toronto, Ontario"
203,2009,Nissan,Versa,2500.0,339000.0,St Catharines,50,"St Catharines, Ontario"
204,2018,Chevrolet,Malibu,18495.0,57769.0,Richmond Hill,25,"Richmond Hill, Ontario"
205,2020,Audi,Q5,54958.0,9758.0,Etobicoke,14,"Etobicoke, Ontario"
206,2020,Ford,Mustang,35788.0,5349.0,Toronto,1,"Toronto, Ontario"
207,2020,Nissan,NV200,27999.0,6439.0,Mississauga,21,"Mississauga, Ontario"
208,2016,Dodge,Grand,14999.0,79579.0,Kanata,329,"Kanata, Ontario"
209,2010,Volkswagen,Jetta,6300.0,106000.0,Mississauga,17,"Mississauga, Ontario"
210,2018,Volkswagen,Tiguan,26923.0,66352.0,Barrie,83,"Barrie, Ontario"
211,2019,Hyundai,Tucson,24595.0,27709.0,Etobicoke,18,"Etobicoke, Ontario"
212,2017,Hyundai,Sonata,20899.0,57000.0,Guelph,74,"Guelph, Ontario"
213,2015,Mitsubishi,RVR,13485.0,88933.0,Markham,27,"Markham, Ontario"
214,2017,Hyundai,Elantra,13379.0,71148.0,Mississauga,27,"Mississauga, Ontario"
215,2014,Kia,Rio,11999.0,76245.0,Stoney Creek,56,"Stoney Creek, Ontario"
216,2013,Land,Rover,21900.0,141398.0,Cambridge,82,"Cambridge, Ontario"
217,2017,Toyota,Prius,20900.0,88100.0,Toronto,10,"Toronto, Ontario"
218,2013,BMW,M5,37910.0,101675.0,Vaughan,21,"Vaughan, Ontario"
219,2020,Honda,Accord,34076.0,13004.0,Mississauga,21,"Mississauga, Ontario"
220,2019,Hyundai,Elantra,15988.0,46511.0,Mississauga,29,"Mississauga, Ontario"
221,2016,Subaru,Outback,21821.0,83367.0,Mississauga,26,"Mississauga, Ontario"
222,2015,Hyundai,Genesis,22995.0,53726.0,Mississauga,27,"Mississauga, Ontario"
223,2013,Ford,Fiesta,9299.0,69500.0,Orangeville,67,"Orangeville, Ontario"
224,2014,Jeep,Patriot,8800.0,151402.0,Niagara Falls,68,"Niagara Falls, Ontario"
225,2012,Honda,Civic,8199.0,164824.0,Mississauga,21,"Mississauga, Ontario"
226,2011,Volkswagen,Golf,5800.0,141000.0,Guelph,72,"Guelph, Ontario"
227,2008,Chevrolet,Malibu,3500.0,205377.0,Hamilton,64,"Hamilton, Ontario"
228,2018,Honda,Civic,19900.0,46419.0,Cambridge,82,"Cambridge, Ontario"
229,2018,Ford,F-250,37800.0,14558.0,Richmond Hill,22,"Richmond Hill, Ontario"
230,2015,Maserati,Quattroporte,49888.0,66480.0,Toronto,15,"Toronto, Ontario"
231,2016,Mercedes-Benz,C-Class,28995.0,78464.0,Toronto,15,"Toronto, Ontario"
232,2017,Lexus,NX,34900.0,38400.0,Toronto,15,"Toronto, Ontario"
233,2014,Volkswagen,Passat,9994.0,98336.0,Innisfil,77,"Innisfil, Ontario"
234,2018,Dodge,Grand,26950.0,13050.0,Grimsby,52,"Grimsby, Ontario"
235,2015,Ram,1500,24500.0,146500.0,Woodbridge,30,"Woodbridge, Ontario"
236,2017,Kia,Sportage,21988.0,28127.0,Grimsby,53,"Grimsby, Ontario"
237,2019,Honda,Civic,18695.0,20898.0,Mississauga,20,"Mississauga, Ontario"
238,2016,Subaru,Outback,17950.0,105000.0,Toronto,16,"Toronto, Ontario"
239,2008,Honda,CR-V,4995.0,247187.0,Paris,95,"Paris, Ontario"
240,2017,BMW,X5,39980.0,79382.0,Thornhill,17,"Thornhill, Ontario"
241,2016,Honda,Odyssey,20495.0,83512.0,Mississauga,21,"Mississauga, Ontario"
242,2016,Lexus,LS,45910.0,95256.0,Vaughan,21,"Vaughan, Ontario"
243,2020,Jeep,WRANGLER,43450.0,501.0,Grimsby,52,"Grimsby, Ontario"
244,2019,Nissan,370Z,45000.0,9888.0,Toronto,1,"Toronto, Ontario"
245,2016,Dodge,Grand,16495.0,92075.0,Lasalle,342,"Lasalle, Ontario"
246,2017,BMW,X3,23910.0,108593.0,Vaughan,21,"Vaughan, Ontario"
247,2019,Ford,Fusion,22999.0,18600.0,Richmond Hill,25,"Richmond Hill, Ontario"
248,2020,Hyundai,Elantra,22895.0,23360.0,Mississauga,27,"Mississauga, Ontario"
249,2017,BMW,X1,22800.0,69052.0,North York,16,"North York, Ontario"
250,2018,Kia,Forte,18950.0,53395.0,Georgetown,41,"Georgetown, Ontario"
251,2017,Hyundai,Elantra,16995.0,83529.0,Toronto,15,"Toronto, Ontario"
252,2020,Ram,1500,56999.0,14600.0,Toronto,17,"Toronto, Ontario"
253,2020,Nissan,Murano,38490.0,746.0,Mono,67,"Mono, Ontario"
254,2017,Mercedes-Benz,GLE-Class,37800.0,92836.0,North York,16,"North York, Ontario"
255,2016,Lexus,RX,36991.0,64212.0,Kitchener,91,"Kitchener, Ontario"
256,2016,Volkswagen,Tiguan,16500.0,95557.0,Orillia,106,"Orillia, Ontario"
257,2018,Mercedes-Benz,C-Class,70878.0,23000.0,Woodbridge,21,"Woodbridge, Ontario"
258,2019,Volkswagen,Golf,23999.0,23786.0,Toronto,14,"Toronto, Ontario"
259,2019,Ford,Escape,22890.0,33555.0,Kitchener,91,"Kitchener, Ontario"
260,2018,Mazda,CX-3,17900.0,19348.0,Toronto,7,"Toronto, Ontario"
261,2015,Ram,Promaster,15995.0,107521.0,Hamilton,55,"Hamilton, Ontario"
262,2016,Volkswagen,Jetta,12750.0,84998.0,Toronto,16,"Toronto, Ontario"
263,2013,Kia,Rio,5200.0,174900.0,Etobicoke,10,"Etobicoke, Ontario"
264,2019,Audi,A4,37995.0,25445.0,Brampton,33,"Brampton, Ontario"
265,2017,Volkswagen,Golf,15955.0,46101.0,Oakville,39,"Oakville, Ontario"
266,2020,Buick,Enclave,56291.0,10.0,Toronto,12,"Toronto, Ontario"
267,2019,Mazda,CX-5,36650.0,17656.0,Scarborough,13,"Scarborough, Ontario"
268,2016,Chevrolet,Malibu,12988.0,67711.0,Burlington,45,"Burlington, Ontario"
269,2019,Audi,A4,49900.0,11043.0,Oakville,37,"Oakville, Ontario"
270,2016,Land,Rover,28995.0,94276.0,North York,15,"North York, Ontario"
271,2019,Nissan,Rogue,27444.0,23341.0,Stoney Creek,56,"Stoney Creek, Ontario"
272,2018,Honda,HR-V,25750.0,27609.0,Thornhill,17,"Thornhill, Ontario"
273,2018,Kia,Forte,15988.0,59793.0,Grimsby,53,"Grimsby, Ontario"
274,2009,Jaguar,XJ,15900.0,128400.0,Hamilton,59,"Hamilton, Ontario"
275,2014,Nissan,SENTRA,8899.0,110878.0,Oakville,38,"Oakville, Ontario"
276,2019,BMW,530,55956.0,8366.0,Barrie,83,"Barrie, Ontario"
277,2017,Mercedes-Benz,Metris,36995.0,48185.0,Peterborough,108,"Peterborough, Ontario"
278,2020,Lincoln,Corsair,57997.0,19253.0,Brampton,30,"Brampton, Ontario"
279,2019,Chevrolet,Silverado,35950.0,36737.0,Oakville,38,"Oakville, Ontario"
280,2016,Nissan,Rogue,15988.0,143896.0,Mississauga,20,"Mississauga, Ontario"
281,2018,Ford,EcoSport,20896.0,250.0,Mississauga,28,"Mississauga, Ontario"
282,2016,Mercedes-Benz,C-Class,29995.0,31958.0,Toronto,15,"Toronto, Ontario"
283,2019,Volkswagen,Golf,23999.0,23786.0,Toronto,14,"Toronto, Ontario"
284,2015,Acura,RDX,20995.0,89300.0,Mississauga,29,"Mississauga, Ontario"
285,2013,Volkswagen,Golf,14500.0,71492.0,Brampton,30,"Brampton, Ontario"
286,2016,Volkswagen,Jetta,12750.0,84998.0,Toronto,16,"Toronto, Ontario"
287,2008,Honda,Accord,5999.0,149900.0,Mississauga,22,"Mississauga, Ontario"
288,2019,Volkswagen,Golf,17985.0,31544.0,Mississauga,21,"Mississauga, Ontario"
289,2017,Hyundai,Elantra,13888.0,75308.0,Brampton,28,"Brampton, Ontario"
290,2020,Cadillac,XT5,54956.0,10.0,Toronto,12,"Toronto, Ontario"
291,2018,Porsche,Macan,48998.0,31600.0,Mississauga,20,"Mississauga, Ontario"
292,2016,Chevrolet,Malibu,12988.0,67711.0,Burlington,45,"Burlington, Ontario"
293,2019,Audi,A4,49900.0,11043.0,Oakville,37,"Oakville, Ontario"
294,2017,Honda,Pilot,32888.0,83821.0,Thornhill,17,"Thornhill, Ontario"
295,2019,Jeep,Compass,29400.0,19103.0,Niagara Falls,68,"Niagara Falls, Ontario"
296,2020,Ford,Fusion,28114.0,14815.0,Scarborough,13,"Scarborough, Ontario"
297,2016,Hyundai,Sonata,18999.0,61258.0,Aurora,40,"Aurora, Ontario"
298,2019,Hyundai,Elantra,18595.0,29186.0,Etobicoke,18,"Etobicoke, Ontario"
299,2016,Volkswagen,Passat,15448.0,113549.0,Barrie,83,"Barrie, Ontario"
300,2019,Jeep,Cherokee,35795.0,1640.0,Toronto,17,"Toronto, Ontario"
301,2015,Jeep,Cherokee,18115.0,109435.0,Toronto,14,"Toronto, Ontario"
302,2020,Mercedes-Benz,A220W4,45079.0,4225.0,Whitby,45,"Whitby, Ontario"
303,2018,Volkswagen,Atlas,32878.0,61793.0,Thornhill,17,"Thornhill, Ontario"
304,2012,Ford,F-250,19999.0,187547.0,Toronto,15,"Toronto, Ontario"
305,2020,Toyota,Corolla,23606.0,12810.0,Georgetown,42,"Georgetown, Ontario"
306,2018,Cadillac,XT5,28100.0,35803.0,Oakville,35,"Oakville, Ontario"
307,2019,Toyota,Sienna,27788.0,48248.0,Toronto,19,"Toronto, Ontario"
308,2019,Toyota,C-HR,27588.0,12630.0,Mississauga,30,"Mississauga, Ontario"
309,2015,Honda,Accord,15750.0,101528.0,Toronto,16,"Toronto, Ontario"
310,2017,Ford,Fusion,14495.0,71887.0,Brampton,35,"Brampton, Ontario"
311,2010,Honda,Accord,9850.0,109278.0,Niagara Falls,68,"Niagara Falls, Ontario"
312,2019,Infiniti,QX50,48889.0,11396.0,Innisfil,77,"Innisfil, Ontario"
313,2018,Subaru,WRX,30995.0,24600.0,Stouffville,38,"Stouffville, Ontario"
