,Year,Make,Model,Price,Mileage,Location,TO_distance,Location_Region
1326,2016,Hyundai,Santa,17888.0,161151.0,Brampton,34,"Brampton, Ontario"
1327,2016,Subaru,Forester,17888.0,61366.0,Mississauga,17,"Mississauga, Ontario"
1328,2016,Volkswagen,Passat,15750.0,87996.0,Toronto,16,"Toronto, Ontario"
1329,2015,Dodge,Grand,11500.0,167178.0,Fergus,79,"Fergus, Ontario"
1330,2017,Nissan,Rogue,22699.0,72944.0,Richmond Hill,30,"Richmond Hill, Ontario"
1331,2017,Genesis,G90,54995.0,12074.0,Mississauga,27,"Mississauga, Ontario"
1332,2019,Acura,TLX,29995.0,51514.0,Mississauga,30,"Mississauga, Ontario"
1333,2017,Ford,F-250,36995.0,129327.0,Cambridge,82,"Cambridge, Ontario"
1334,2014,Maserati,GranTurismo,89900.0,45348.0,Oakville,39,"Oakville, Ontario"
1335,2017,Audi,A4,24999.0,78550.0,Ancaster,65,"Ancaster, Ontario"
1336,2019,Nissan,Qashqai,21990.0,42474.0,Mono,67,"Mono, Ontario"
1337,2017,Volkswagen,Jetta,15999.0,82271.0,Brampton,30,"Brampton, Ontario"
1338,2016,Hyundai,Sonata,12999.0,997500.0,Bowmanville,62,"Bowmanville, Ontario"
1339,2006,Lexus,RX,6900.0,250000.0,North York,15,"North York, Ontario"
1340,2009,Hyundai,Accent,3599.0,117000.0,Waterloo,94,"Waterloo, Ontario"
1341,2018,Jaguar,F-Pace,47990.0,30039.0,Woodbridge,20,"Woodbridge, Ontario"
1342,2013,Nissan,Murano,7878.0,201809.0,Stouffville,37,"Stouffville, Ontario"
1343,2019,Dodge,Durango,44765.0,46554.0,Mississauga,27,"Mississauga, Ontario"
1344,2019,Dodge,Journey,30992.0,27010.0,Hamilton,55,"Hamilton, Ontario"
1345,2019,MINI,Cooper,29418.0,2370.0,Ajax,37,"Ajax, Ontario"
1346,2016,Lincoln,MKX,32880.0,43247.0,Vaughan,20,"Vaughan, Ontario"
1347,2016,Ram,1500,23295.0,95228.0,Whitby,45,"Whitby, Ontario"
1348,2014,Mercedes-Benz,E-Class,20450.0,116530.0,Oakville,38,"Oakville, Ontario"
1349,2014,BMW,3,19888.0,54406.0,Toronto,15,"Toronto, Ontario"
1350,2019,Toyota,Corolla,16990.0,16345.0,Norval,39,"Norval, Ontario"
1351,2017,Honda,Civic,16516.0,26524.0,Mississauga,31,"Mississauga, Ontario"
1352,2017,Toyota,Corolla,15887.0,86908.0,Kitchener,92,"Kitchener, Ontario"
1354,2020,Ram,1500,56999.0,14600.0,Toronto,17,"Toronto, Ontario"
1355,2019,Chrysler,300,25998.0,30093.0,Bolton,37,"Bolton, Ontario"
1356,2012,BMW,M6,49910.0,74651.0,Vaughan,21,"Vaughan, Ontario"
1357,2019,Jeep,Grand,36950.0,30069.0,Grimsby,52,"Grimsby, Ontario"
1358,2014,Maserati,GranTurismo,89900.0,45348.0,Oakville,39,"Oakville, Ontario"
1359,2016,Toyota,Corolla,15900.0,74857.0,Stouffville,36,"Stouffville, Ontario"
1360,2019,Dodge,Grand,25998.0,28212.0,Toronto,1,"Toronto, Ontario"
1361,2016,Toyota,RAV4,25800.0,60799.0,Markham,19,"Markham, Ontario"
1362,2018,Hyundai,Sonata,18595.0,42195.0,Etobicoke,18,"Etobicoke, Ontario"
1363,2016,Mitsubishi,Lancer,14500.0,76000.0,Guelph,70,"Guelph, Ontario"
1364,2015,Jeep,Patriot,12988.0,126743.0,Stoney Creek,56,"Stoney Creek, Ontario"
1365,2012,Ford,Focus,3499.0,150878.0,Oakville,38,"Oakville, Ontario"
1366,2016,Mercedes-Benz,CLA-Class,27995.0,54000.0,Oakville,35,"Oakville, Ontario"
1367,2017,Nissan,Maxima,26995.0,42925.0,Richmond Hill,30,"Richmond Hill, Ontario"
1368,2019,Genesis,G90,67995.0,8043.0,Mississauga,27,"Mississauga, Ontario"
1369,2013,Mercedes-Benz,CLS63,31995.0,137000.0,Brampton,26,"Brampton, Ontario"
1370,2016,Toyota,Corolla,16599.0,88430.0,Burlington,48,"Burlington, Ontario"
1371,2017,Mercedes-Benz,E-Class,53995.0,25059.0,Waterloo,96,"Waterloo, Ontario"
1372,2019,Hyundai,Sonata,23395.0,31888.0,Mississauga,27,"Mississauga, Ontario"
1373,2019,Honda,Civic,20888.0,35763.0,Stoney Creek,56,"Stoney Creek, Ontario"
1374,2018,Chevrolet,Cruze,19995.0,26006.0,Milton,43,"Milton, Ontario"
1375,2017,Nissan,Juke,17377.0,42341.0,Vaughan,24,"Vaughan, Ontario"
1376,2017,Ford,Escape,14500.0,117000.0,Guelph,74,"Guelph, Ontario"
1377,2016,Volkswagen,Jetta,12500.0,58489.0,Burlington,45,"Burlington, Ontario"
1378,2020,Volkswagen,Jetta,24909.0,90.0,Brantford,88,"Brantford, Ontario"
1379,2018,Lexus,RX,38800.0,63864.0,Toronto,13,"Toronto, Ontario"
1380,2016,Mercedes-Benz,GLE-Class,44800.0,105705.0,North York,16,"North York, Ontario"
1381,2020,Hyundai,Tucson,27900.0,13725.0,Guelph,77,"Guelph, Ontario"
1382,2015,Honda,Civic,13788.0,49980.0,Oakville,32,"Oakville, Ontario"
1383,2019,GMC,Sierra,63900.0,34273.0,Orangeville,63,"Orangeville, Ontario"
1384,2016,BMW,4-Series,26800.0,93332.0,North York,16,"North York, Ontario"
1385,2019,Hyundai,Sonata,22995.0,33637.0,Etobicoke,18,"Etobicoke, Ontario"
1386,2011,Ford,F-350,21999.0,148911.0,Toronto,15,"Toronto, Ontario"
1387,2016,Volkswagen,Jetta,16888.0,104277.0,Mississauga,30,"Mississauga, Ontario"
1388,2016,Subaru,Legacy,16880.0,65181.0,Kitchener,92,"Kitchener, Ontario"
1389,2008,Dodge,Ram,11500.0,253789.0,Arthur,95,"Arthur, Ontario"
1390,2020,Volkswagen,Tiguan,43994.0,90.0,Brantford,88,"Brantford, Ontario"
1391,2018,BMW,4,37998.0,13770.0,Thornhill,17,"Thornhill, Ontario"
1392,2017,Land,Rover,82888.0,41888.0,Thornhill,17,"Thornhill, Ontario"
1393,2019,Acura,TLX,37788.0,23773.0,Oakville,38,"Oakville, Ontario"
1394,2020,Ram,1500,54995.0,26600.0,Stouffville,38,"Stouffville, Ontario"
1396,2007,Chevrolet,Corvette,31988.0,86400.0,St George,86,"St George, Ontario"
1397,2019,Kia,Forte,19444.0,17838.0,Grimsby,53,"Grimsby, Ontario"
1398,2018,Nissan,Sentra,14888.0,29253.0,Woodbridge,23,"Woodbridge, Ontario"
1399,2017,Hyundai,Elantra,14199.0,57194.0,Mississauga,27,"Mississauga, Ontario"
1400,2013,BMW,ActiveHybrid,13500.0,102000.0,Toronto,6,"Toronto, Ontario"
1401,1996,Ford,F-150,3000.0,250000.0,Arthur,95,"Arthur, Ontario"
1402,2017,Honda,Civic,18998.0,72748.0,Guelph,77,"Guelph, Ontario"
1403,2015,Kia,Soul,10995.0,179197.0,Oshawa,49,"Oshawa, Ontario"
1404,2019,Porsche,911,266464.0,2850.0,North York,10,"North York, Ontario"
1405,2020,Cadillac,XT4,48813.0,5500.0,Toronto,12,"Toronto, Ontario"
1407,2017,Lexus,RX,44900.0,59040.0,Ottawa,356,"Ottawa, Ontario"
1408,2018,Subaru,Impreza,46450.0,17500.0,North York,10,"North York, Ontario"
1409,2015,BMW,5,28800.0,76590.0,North York,16,"North York, Ontario"
1410,2017,Ford,Explorer,26888.0,94628.0,Thornhill,17,"Thornhill, Ontario"
1411,2014,GMC,Sierra,20900.0,212000.0,Amaranth,66,"Amaranth, Ontario"
1412,2017,Hyundai,Tucson,20099.0,75561.0,Scarborough,22,"Scarborough, Ontario"
1413,2015,Toyota,RAV4,17949.0,63379.0,Georgetown,41,"Georgetown, Ontario"
1414,2020,Volkswagen,Jetta,29014.0,90.0,Brantford,88,"Brantford, Ontario"
1415,2016,Honda,Pilot,25995.0,126000.0,Toronto,18,"Toronto, Ontario"
1416,2018,Mercedes-Benz,GLE-Class,81800.0,68955.0,North York,16,"North York, Ontario"
1417,2018,Audi,Q7,51910.0,29956.0,Vaughan,21,"Vaughan, Ontario"
1418,2020,Subaru,Ascent,39468.0,8376.0,Toronto,15,"Toronto, Ontario"
1419,2020,BMW,440,68736.0,902.0,Barrie,83,"Barrie, Ontario"
1420,2019,Jeep,Compass,28858.0,23224.0,Trenton,152,"Trenton, Ontario"
1421,2018,Ram,1500,38761.0,61667.0,Georgetown,41,"Georgetown, Ontario"
1422,2021,Kia,Seltos,33800.0,100.0,Toronto,14,"Toronto, Ontario"
1423,2018,Subaru,WRX,54400.0,14335.0,Innisfil,76,"Innisfil, Ontario"
1424,2016,Subaru,BRZ,19990.0,67119.0,Toronto,15,"Toronto, Ontario"
1425,2018,GMC,Terrain,28998.0,78589.0,Milton,42,"Milton, Ontario"
1426,2017,Subaru,Outback,24985.0,83564.0,Thornhill,17,"Thornhill, Ontario"
1427,2017,Subaru,Outback,18087.0,164451.0,Niagara Falls,68,"Niagara Falls, Ontario"
1428,2015,Mazda,Mazda3,13490.0,62628.0,Mono,67,"Mono, Ontario"
1429,2015,Chevrolet,Cruze,12961.0,55544.0,Kitchener,91,"Kitchener, Ontario"
1430,2015,Mitsubishi,Outlander,10988.0,109000.0,North York,10,"North York, Ontario"
1431,2017,Chevrolet,Corvette,78988.0,8804.0,St George,86,"St George, Ontario"
1432,2017,Kia,Sorento,26885.0,80401.0,Toronto,14,"Toronto, Ontario"
1433,2018,Porsche,Cayenne,64900.0,13832.0,Toronto,13,"Toronto, Ontario"
1434,2020,Volkswagen,Tiguan,44300.0,9800.0,Mississauga,21,"Mississauga, Ontario"
1435,2019,Mercedes-Benz,CLS450,98667.0,4050.0,Nepean,345,"Nepean, Ontario"
1436,2018,Mazda,Mazda3,16995.0,49760.0,Toronto,14,"Toronto, Ontario"
1437,2019,Hyundai,Tucson,22210.0,44707.0,Etobicoke,13,"Etobicoke, Ontario"
1438,2016,Volkswagen,Beetle,20888.0,89925.0,Toronto,15,"Toronto, Ontario"
1439,2017,Ford,Escape,19977.0,119801.0,Toronto,15,"Toronto, Ontario"
1440,2017,Ford,Escape,19888.0,75686.0,Thornhill,17,"Thornhill, Ontario"
1441,2018,Kia,Sportage,19588.0,55106.0,Milton,43,"Milton, Ontario"
1442,2005,Cadillac,Escalade,5900.0,289705.0,Mississauga,23,"Mississauga, Ontario"
1443,2019,Ram,1500,35995.0,22.0,Scarborough,14,"Scarborough, Ontario"
1444,2019,BMW,M2,71900.0,10250.0,Terrebonne,517,"Terrebonne, Ontario"
1445,2019,Mercedes-Benz,GLC,61900.0,23334.0,Burlington,53,"Burlington, Ontario"
1446,2019,Nissan,Armada,59998.0,5269.0,Toronto,9,"Toronto, Ontario"
1447,2017,Ford,F-250,36995.0,129327.0,Cambridge,82,"Cambridge, Ontario"
1448,2017,Mercedes-Benz,E-Class,53995.0,25059.0,Waterloo,96,"Waterloo, Ontario"
1449,2016,Mercedes-Benz,C300,27494.0,52599.0,Kitchener,91,"Kitchener, Ontario"
1450,2015,Mercedes-Benz,GLA-Class,22888.0,51208.0,Toronto,15,"Toronto, Ontario"
1451,2017,Hyundai,Sonata,19995.0,57609.0,Etobicoke,18,"Etobicoke, Ontario"
1452,2016,Nissan,Rogue,13994.0,94075.0,Vaughan,24,"Vaughan, Ontario"
1453,2010,Honda,CR-V,11488.0,137050.0,Brampton,34,"Brampton, Ontario"
1454,2012,Dodge,Caravan,6500.0,198000.0,Binbrook,69,"Binbrook, Ontario"
1455,2019,Mazda,CX-9,34288.0,23380.0,Mississauga,21,"Mississauga, Ontario"
1456,2018,BMW,4,37998.0,13770.0,Thornhill,17,"Thornhill, Ontario"
1457,2006,Ford,GT,445888.0,2750.0,Thornhill,17,"Thornhill, Ontario"
1458,2017,Chevrolet,Corvette,78988.0,8804.0,St George,86,"St George, Ontario"
1459,2020,Jeep,Grand,53995.0,13401.0,Mississauga,20,"Mississauga, Ontario"
1460,2018,Ford,EcoSport,23999.0,23500.0,Brantford,88,"Brantford, Ontario"
1461,2017,Ram,2500,53950.0,91396.0,Grimsby,52,"Grimsby, Ontario"
1462,2019,Nissan,LEAF,41900.0,8263.0,Burlington,45,"Burlington, Ontario"
1463,2019,Ford,Edge,37498.0,5883.0,Grimsby,53,"Grimsby, Ontario"
1464,2018,Mazda,CX-3,17800.0,57580.0,Etobicoke,12,"Etobicoke, Ontario"
1465,2019,Kia,Soul,16999.0,67660.0,Stoney Creek,56,"Stoney Creek, Ontario"
1466,2012,Dodge,Grand,10998.0,99155.0,North York,17,"North York, Ontario"
1467,2012,Dodge,Journey,7888.0,173302.0,Oshawa,49,"Oshawa, Ontario"
1468,2018,Nissan,LEAF,30900.0,26295.0,Burlington,45,"Burlington, Ontario"
1469,2018,Nissan,LEAF,30900.0,26295.0,Burlington,45,"Burlington, Ontario"
1470,2017,Audi,Q5,28399.0,69275.0,Markham,24,"Markham, Ontario"
1471,2019,Land,Rover,45036.0,14000.0,Toronto,2,"Toronto, Ontario"
1472,2017,Subaru,Outback,19977.0,94277.0,Ottawa,337,"Ottawa, Ontario"
1473,2019,Jeep,Compass,27995.0,30481.0,Milton,43,"Milton, Ontario"
1474,2019,Hyundai,Tucson,23995.0,24443.0,Etobicoke,18,"Etobicoke, Ontario"
1475,2016,Nissan,Maxima,16950.0,139000.0,Toronto,16,"Toronto, Ontario"
1476,2013,Toyota,Highlander,16275.0,175484.0,Toronto,15,"Toronto, Ontario"
1477,2014,Mercedes-Benz,C-Class,15300.0,102600.0,Mississauga,29,"Mississauga, Ontario"
1478,2017,Chevrolet,Equinox,12995.0,131773.0,Mississauga,23,"Mississauga, Ontario"
1479,2019,Land,Rover,116990.0,14455.0,Woodbridge,20,"Woodbridge, Ontario"
1480,2019,Jeep,Grand,37998.0,27770.0,Oakville,34,"Oakville, Ontario"
1481,2019,Ford,F-150,43900.0,21870.0,Waterloo,95,"Waterloo, Ontario"
1482,2018,Ford,Fusion,21999.0,36785.0,Toronto,18,"Toronto, Ontario"
1483,2017,Audi,Q7,37395.0,75440.0,Toronto,15,"Toronto, Ontario"
1484,2020,Ram,1500,62950.0,10728.0,Burlington,48,"Burlington, Ontario"
1485,2018,Honda,Civic,18995.0,65332.0,Woodbridge,23,"Woodbridge, Ontario"
1486,2016,Honda,Civic,13950.0,97854.0,Oakville,38,"Oakville, Ontario"
1487,2016,Ford,Focus,12987.0,43260.0,Guelph,67,"Guelph, Ontario"
1488,2015,Kia,Rio,10950.0,58692.0,Oakville,38,"Oakville, Ontario"
1489,2006,Porsche,Cayenne,8350.0,216500.0,Toronto,19,"Toronto, Ontario"
1490,2009,Toyota,Venza,7995.0,221341.0,Paris,95,"Paris, Ontario"
1491,2018,Acura,TLX,32988.0,64717.0,Aurora,42,"Aurora, Ontario"
1492,2009,Mercedes-Benz,M-Class,11995.0,199000.0,Toronto,18,"Toronto, Ontario"
1493,2014,Mercedes-Benz,SL-Class,73800.0,53416.0,North York,16,"North York, Ontario"
1494,2020,Lincoln,Nautilus,67999.0,13999.0,Brampton,30,"Brampton, Ontario"
1495,2020,Toyota,Corolla,25495.0,19113.0,Toronto,10,"Toronto, Ontario"
1496,2017,Audi,A6,45900.0,19421.0,London,171,"London, Ontario"
1497,2019,Land,Rover,59800.0,8006.0,North York,16,"North York, Ontario"
1498,2015,Mercedes-Benz,GLK-Class,24800.0,92117.0,North York,16,"North York, Ontario"
1499,2016,Toyota,RAV4,23880.0,92318.0,Kitchener,92,"Kitchener, Ontario"
1500,2016,BMW,4,22597.0,48528.0,Bolton,37,"Bolton, Ontario"
1501,2018,Mitsubishi,Outlander,18998.0,50128.0,Scarborough,19,"Scarborough, Ontario"
1502,2016,Hyundai,Sonata,12599.0,139902.0,Mississauga,27,"Mississauga, Ontario"
1503,2019,Mercedes-Benz,GLC,57999.0,14072.0,Brampton,36,"Brampton, Ontario"
1504,2019,Kia,Sorento,25989.0,42007.0,Toronto,17,"Toronto, Ontario"
1505,2017,Genesis,G80,43995.0,7531.0,Mississauga,27,"Mississauga, Ontario"
1506,2020,Toyota,Camry,29888.0,16574.0,Brampton,34,"Brampton, Ontario"
1507,2020,Jeep,Grand,53995.0,13401.0,Mississauga,20,"Mississauga, Ontario"
1508,2018,Ford,EcoSport,23999.0,23500.0,Brantford,88,"Brantford, Ontario"
1509,2019,Jeep,Compass,28595.0,11595.0,Milton,43,"Milton, Ontario"
1510,2019,Kia,Sportage,25980.0,22872.0,Toronto,14,"Toronto, Ontario"
1511,2016,BMW,5,25800.0,71682.0,North York,16,"North York, Ontario"
1512,2016,Nissan,Murano,17795.0,82243.0,Mississauga,21,"Mississauga, Ontario"
1513,2016,Toyota,Corolla,12995.0,126344.0,Kitchener,88,"Kitchener, Ontario"
1514,2017,Hyundai,Elantra,8666.0,118546.0,Whitby,45,"Whitby, Ontario"
1515,2020,Honda,Odyssey,45900.0,8662.0,Mississauga,30,"Mississauga, Ontario"
1516,2017,Mazda,CX-5,23998.0,53702.0,Toronto,8,"Toronto, Ontario"
1517,2019,Chevrolet,Blazer,42925.0,2.0,Brampton,34,"Brampton, Ontario"
1518,2019,Mercedes-Benz,GLC,39895.0,34807.0,Toronto,14,"Toronto, Ontario"
1519,2019,Volkswagen,Golf,24713.0,2200.0,Whitby,46,"Whitby, Ontario"
1520,2013,Infiniti,EX37,13995.0,148562.0,Etobicoke,22,"Etobicoke, Ontario"
1521,2017,Mercedes-Benz,GLC300,31991.0,73688.0,Kitchener,91,"Kitchener, Ontario"
1522,2018,Nissan,Murano,29988.0,71847.0,Toronto,12,"Toronto, Ontario"
1523,2016,Honda,Civic,12500.0,149241.0,Toronto,16,"Toronto, Ontario"
1524,2014,Mazda,Mazda3,11990.0,92947.0,Toronto,16,"Toronto, Ontario"
1525,2012,Chevrolet,Equinox,10988.0,154646.0,Toronto,12,"Toronto, Ontario"
1526,2010,Dodge,Charger,6900.0,172000.0,Vaughan,20,"Vaughan, Ontario"
1527,2015,Dodge,Grand,11500.0,167178.0,Fergus,79,"Fergus, Ontario"
1528,2020,Nissan,Rogue,25233.0,10000.0,Stouffville,37,"Stouffville, Ontario"
1529,2019,Mercedes-Benz,GLA-Class,49167.0,5867.0,Oakville,35,"Oakville, Ontario"
1530,2019,Land,Rover,42500.0,13000.0,Markham,22,"Markham, Ontario"
1531,2016,BMW,228i,23500.0,43725.0,Ottawa,357,"Ottawa, Ontario"
1532,2016,Toyota,Corolla,16599.0,88430.0,Burlington,48,"Burlington, Ontario"
1533,2018,Infiniti,QX60,32888.0,60627.0,Guelph,77,"Guelph, Ontario"
1534,2019,Jeep,Compass,28966.0,17984.0,Niagara Falls,68,"Niagara Falls, Ontario"
1535,2016,Mercedes-Benz,CLA-Class,19999.0,69000.0,Mississauga,19,"Mississauga, Ontario"
1537,2009,Chevrolet,Silverado,15200.0,155038.0,Welland,74,"Welland, Ontario"
1538,2013,Mazda,Mazda3,8995.0,133069.0,Toronto,14,"Toronto, Ontario"
1539,2020,BMW,440,68736.0,902.0,Barrie,83,"Barrie, Ontario"
1540,2020,Nissan,Altima,25295.0,13344.0,Mississauga,21,"Mississauga, Ontario"
1541,2016,Jeep,Grand,51998.0,65583.0,Toronto,1,"Toronto, Ontario"
1542,2017,Porsche,Macan,42800.0,69525.0,North York,16,"North York, Ontario"
1543,2019,Lincoln,Continental,59998.0,14882.0,Brampton,30,"Brampton, Ontario"
1544,2010,BMW,528,13569.0,116695.0,Ottawa,358,"Ottawa, Ontario"
1545,2019,Ram,1500,35995.0,15293.0,Arthur,95,"Arthur, Ontario"
1546,2017,Audi,Q3,25998.0,24019.0,Thornhill,17,"Thornhill, Ontario"
1547,2017,Acura,RDX,23948.0,97414.0,Georgetown,41,"Georgetown, Ontario"
1548,2017,Ford,Escape,21999.0,27938.0,Brampton,30,"Brampton, Ontario"
1549,2014,Honda,Odyssey,18795.0,82066.0,Toronto,11,"Toronto, Ontario"
1550,2008,Suzuki,SX4,1995.0,201219.0,Mississauga,23,"Mississauga, Ontario"
1551,2018,Audi,Q5,39000.0,73414.0,Mississauga,27,"Mississauga, Ontario"
1552,2020,Jeep,Wrangler,55999.0,17916.0,Toronto,17,"Toronto, Ontario"
1553,2020,Buick,Enclave,59757.0,14102.0,Toronto,12,"Toronto, Ontario"
1554,2018,BMW,M2,58590.0,24910.0,Oakville,40,"Oakville, Ontario"
1555,1988,Porsche,911,449998.0,36277.0,Thornhill,17,"Thornhill, Ontario"
1556,2019,Ford,Edge,30995.0,14427.0,Orleans,367,"Orleans, Ontario"
1557,2013,BMW,M6,46800.0,44131.0,North York,16,"North York, Ontario"
1558,2017,Ford,Flex,34950.0,22198.0,Toronto,15,"Toronto, Ontario"
1559,2019,Dodge,Grand,30950.0,1693.0,Burlington,48,"Burlington, Ontario"
1560,2014,Mercedes-Benz,E-Class,23999.0,108000.0,Toronto,18,"Toronto, Ontario"
1561,2016,Porsche,Panamera,59800.0,78484.0,North York,16,"North York, Ontario"
1562,2020,Jeep,Gladiator,54800.0,150.0,Oakville,31,"Oakville, Ontario"
1563,2010,Volkswagen,Jetta,6300.0,106000.0,Toronto,15,"Toronto, Ontario"
1564,2019,Lexus,GS,54988.0,18727.0,Thornhill,17,"Thornhill, Ontario"
1565,2019,Subaru,Outback,29969.0,16963.0,Vaughan,24,"Vaughan, Ontario"
1566,2017,Mercedes-Benz,C43,46888.0,18789.0,Toronto,15,"Toronto, Ontario"
1567,2020,Jeep,Cherokee,39988.0,10000.0,Toronto,19,"Toronto, Ontario"
1568,2019,Toyota,Corolla,17800.0,15062.0,Markham,19,"Markham, Ontario"
1569,2019,Toyota,Corolla,20995.0,5425.0,Toronto,8,"Toronto, Ontario"
1570,2019,Dodge,Durango,38989.0,28083.0,Paris,95,"Paris, Ontario"
1571,2018,Honda,HR-V,26492.0,48869.0,Kitchener,91,"Kitchener, Ontario"
1572,2011,Jaguar,XJ,17900.0,118324.0,Mississauga,20,"Mississauga, Ontario"
1573,2016,Mazda,Mazda3,14795.0,29962.0,Mississauga,21,"Mississauga, Ontario"
1574,2012,Mercedes-Benz,C-Class,11750.0,140363.0,Toronto,19,"Toronto, Ontario"
1575,2013,Kia,Sportage,7888.0,195429.0,Stoney Creek,56,"Stoney Creek, Ontario"
1576,2018,Cadillac,XT5,33988.0,55391.0,Toronto,12,"Toronto, Ontario"
1577,2013,Lexus,RX,20795.0,118085.0,Markham,25,"Markham, Ontario"
1578,2020,Toyota,RAV4,38944.0,12115.0,Bolton,34,"Bolton, Ontario"
1579,2019,Toyota,Highlander,38888.0,129806.0,Toronto,15,"Toronto, Ontario"
1580,2012,Ford,F-250,19999.0,187547.0,Toronto,15,"Toronto, Ontario"
1581,2020,Subaru,Ascent,39468.0,8376.0,Richmond Hill,30,"Richmond Hill, Ontario"
1582,2017,Toyota,RAV4,33999.0,15864.0,Waterloo,94,"Waterloo, Ontario"
1583,2016,BMW,4,29000.0,75500.0,Oakville,37,"Oakville, Ontario"
1584,2020,Nissan,Altima,25295.0,12673.0,Mississauga,21,"Mississauga, Ontario"
1585,2020,Hyundai,Elantra,19995.0,26024.0,Etobicoke,18,"Etobicoke, Ontario"
1586,2012,Ford,Flex,7900.0,198790.0,Mississauga,21,"Mississauga, Ontario"
1587,2013,Hyundai,Elantra,6250.0,157341.0,Stouffville,36,"Stouffville, Ontario"
1588,2019,Ford,Escape,24968.0,25257.0,Barrie,88,"Barrie, Ontario"
1589,2017,Mercedes-Benz,GLC,31995.0,111000.0,Toronto,18,"Toronto, Ontario"
1590,2017,Audi,R8,162800.0,35859.0,North York,16,"North York, Ontario"
1591,2016,Jeep,Grand,51998.0,65583.0,Toronto,1,"Toronto, Ontario"
1592,2016,Volkswagen,Passat,17306.0,76963.0,Georgetown,42,"Georgetown, Ontario"
1593,2014,Nissan,Pathfinder,15668.0,115423.0,Sarnia,255,"Sarnia, Ontario"
1594,2018,Volkswagen,Golf,33000.0,53000.0,Toronto,5,"Toronto, Ontario"
1595,2016,BMW,4,22500.0,78223.0,Toronto,16,"Toronto, Ontario"
1596,2015,Audi,A4,18495.0,108801.0,Milton,43,"Milton, Ontario"
1597,2016,Acura,TLX,17950.0,75000.0,Guelph,74,"Guelph, Ontario"
1598,2019,Kia,Forte,17299.0,7351.0,St. Catharines,53,"St. Catharines, Ontario"
1599,2013,Volkswagen,Jetta,11995.0,41725.0,Milton,43,"Milton, Ontario"
1600,2020,BMW,Z4,80800.0,10088.0,Hamilton,64,"Hamilton, Ontario"
1601,2018,Ram,2500,45995.0,113916.0,Mississauga,20,"Mississauga, Ontario"
1602,2019,Mercedes-Benz,GLC,62995.0,194.0,Oakville,35,"Oakville, Ontario"
1603,2015,Mercedes-Benz,C-Class,29999.0,98000.0,Caledon,39,"Caledon, Ontario"
1604,2011,Mitsubishi,RVR,9395.0,189123.0,London,164,"London, Ontario"
1605,2013,Ferrari,FF,169000.0,54055.0,Toronto,19,"Toronto, Ontario"
1606,2016,BMW,X3,29995.0,63522.0,Toronto,9,"Toronto, Ontario"
1607,2019,Volkswagen,Jetta,24788.0,44636.0,Toronto,19,"Toronto, Ontario"
1608,2018,Nissan,Pathfinder,22795.0,73755.0,Toronto,14,"Toronto, Ontario"
1609,2019,Hyundai,Elantra,17299.0,34965.0,Mississauga,27,"Mississauga, Ontario"
1610,2015,Jeep,Renegade,13995.0,114404.0,Mississauga,21,"Mississauga, Ontario"
1611,2017,Kia,Forte,9950.0,41552.0,Georgetown,41,"Georgetown, Ontario"
1612,2014,Kia,Soul,15888.0,10.0,Oshawa,49,"Oshawa, Ontario"
1613,2019,Jeep,Grand,45998.0,24824.0,Toronto,17,"Toronto, Ontario"
1614,1980,Ferrari,308,65000.0,62621.0,Newmarket,46,"Newmarket, Ontario"
1615,2019,Dodge,Grand,29998.0,21308.0,Vaughan,21,"Vaughan, Ontario"
1616,2020,Chevrolet,Colorado,39988.0,9800.0,Niagara Falls,64,"Niagara Falls, Ontario"
1617,2015,Lamborghini,Huracan,225000.0,46000.0,Concord,18,"Concord, Ontario"
1618,2015,Toyota,Highlander,25888.0,98685.0,Brampton,34,"Brampton, Ontario"
1619,2015,Jeep,Grand,25200.0,94714.0,Woodbridge,27,"Woodbridge, Ontario"
1620,2018,Hyundai,Sonata,16999.0,58800.0,Oakville,30,"Oakville, Ontario"
1622,2019,BMW,530,55956.0,8366.0,Barrie,83,"Barrie, Ontario"
1623,2018,BMW,7,78888.0,6957.0,Thornhill,17,"Thornhill, Ontario"
1624,2011,Aston,Martin,79800.0,44371.0,North York,16,"North York, Ontario"
1625,2019,Jeep,Grand,39995.0,28668.0,Milton,43,"Milton, Ontario"
1626,2019,Toyota,Corolla,20995.0,5425.0,Toronto,8,"Toronto, Ontario"
1627,2019,Toyota,Corolla,17800.0,15062.0,Markham,19,"Markham, Ontario"
1628,2014,Volkswagen,Touareg,35888.0,76670.0,Brampton,30,"Brampton, Ontario"
1629,2016,Jaguar,XF,30800.0,62600.0,North York,16,"North York, Ontario"
1630,2014,BMW,5,22888.0,93217.0,Toronto,15,"Toronto, Ontario"
1631,2014,BMW,4-Series,17800.0,118473.0,North York,16,"North York, Ontario"
1632,2016,Volkswagen,Jetta,13250.0,29998.0,Toronto,16,"Toronto, Ontario"
1633,2015,Nissan,Altima,11900.0,123450.0,Burlington,45,"Burlington, Ontario"
1634,2015,Dodge,Grand,11500.0,167178.0,Fergus,79,"Fergus, Ontario"
1635,2008,Mazda,CX-9,9900.0,105008.0,Toronto,7,"Toronto, Ontario"
1636,2017,Mercedes-Benz,S-Class,62800.0,52761.0,North York,16,"North York, Ontario"
1637,2020,Mazda,CX-30,34995.0,7525.0,Toronto,16,"Toronto, Ontario"
1638,2020,Toyota,Corolla,25495.0,19113.0,Toronto,10,"Toronto, Ontario"
